"Ramo              ";"Razao             ";"Endereco          ";"Bairro            ";"CEP               ";"Cidade            ";"UF                ";"Contato           ";"Funcionarios      ";"Telefone          ";"Fax               ";"Site              ";"E-mail            ";"Produtos          "
"ALIMENTICIA ";" DAFAP'S IND. E COM. PRODS. ALIM. LTDA. ";" R. João Antonio Mendes, 126 ";" N. Srª. Aparecida ";" 13440-000 ";" Saltinho ";" SP ";" Dir. Coml.: Nelson Mendes ";60;" (0xx19) 3439-1181 ";" (0xx19) 3439-1496 ";"  ";"  ";" Pipoca, amendoim, canjica, fuba. "
"MECANICA ";" HICOA IND. MECÂNICA LTDA. ";" R. Rui Barbosa, 1867 ";" Jd. Servilha ";" 13320-360 ";" Salto ";" SP ";" Dir. Coml.: Eduardo Hidalgo ";6;" (0xx11) 4029-2677 ";" (0xx11) 4028-4082 ";" www.hicoa.com.br ";" hicoa@hicoa.com.br ";" Mesa divisora; acessórios p/ divisor; flange p/ placa; "
"METALURGICA ";" CANBERRA PUMPS DO BRASIL ";" Estr. Itú-Salto, Km 40,4 ";" Canjica ";" 13320-970 ";" Salto ";" SP ";" Dir. Coml.: Mario Camargo Silveira ";100;" (0xx11) 4602-9200 ";" (0xx11) 4028-1342/4028-0006 ";" www.canberra.com.br ";" canberra@canberra.com.br ";" Bombas hidraulicas; "
"METALURGICA ";" MS-MAYER DO BRASIL LTDA. ";" R. Itália Manfredini, 31 ";" Núcleo Indl. Alert ";" 13320-000 ";" Salto ";" SP ";" Ger. Coml.: Fabrício Rampani ";50;" (0xx11) 4028-8850/8855 ";" (0xx11) 4029-3647 ";" www.mayerbr.com.br ";" mayer@mayerbr.com.br ";" Máqs. de solda por ultra-som; "
"METALURGICA ";" NAGEL DO BRASIL MÁQUINAS E FERRAMENTAS LTDA. ";" Av. Brasília, 125 ";" Distrito Industrial ";" 13327-100 ";" Salto ";" SP ";" Dir. Coml.: Wolfgang Kissling ";180;" (0xx11) 4028-9700/9713 ";" (0xx11) 4028-1472 ";" www.nagel.com.br ";" nagel@nagel.com.br ";" Máquinas e ferramentas de brunir, retíficas p/indústriais automobilísticas. "
"ELETRO ELETRONICA ";" ALTENA BRASIL ILUMINAÇÃO LTDA. ";" Av. Tranquillo Giannini, 920 ";" Jd. Paulistano ";" 13329-901 ";" Salto ";" SP ";" Dir. Coml.: Alberto Manavello ";150;" (0xx11) 4602-8666/4028-1666 ";" (0xx11) 4602-8665 ";" www.altena.com.br ";" altena@altena.com.br ";" Produtos p/ iluminação; luminárias p/ jardins; trilhos életrificados; "
"ELETRO ELETRONICA ";" REDACS MATERIAL ELÉTRICO LTDA. ";" R. 24 de Outubro, 2274 ";" Jd. Santa Lucia ";" 13321-430 ";" Salto ";" SP ";" Sócio-Gerente: Solon Alves Cerqueira ";" ";" (0xx11) 4028-15504029-5851 ";" (0xx11) 4029-5851 ";" www.redacs.com.br ";" redacs@redacs.com.br ";" Soquete p/ lampada a vapor metálico; soquete p/ lampada especial; soquete p/ lampada halopin, incandescente/fluorescentes compacta; "
"QUIMICA E FARMACEUTICA ";" ARCH QUÍMICA BRASIL LTDA. ";" Av. Brasilia, 1500 ";" Buru ";" 13327-901 ";" Salto ";" SP ";" Dir. Coml.: Arnaldo Machado ";30;" (0xx11) 4028-8000 ";" (0xx11) 4028-8046 ";" www.hth.com.br ";" hth@hth.com.br ";" Hipoclorito de cálcio hth, algicidas; floculantes; clarificantes hth; "
"QUIMICA E FARMACEUTICA ";" EUCATEX QUÍMICA E MINERAL LTDA. ";" Estr. do Guarujá, 3.150 ";" Jd. Marília ";" 13323-902 ";" Salto ";" SP ";" Dir. Coml.: Antonio Benedito Querino ";2900;" (0xx11) 4602-7000 ";" (0xx11) 4602-7011 ";" www.eucatex.com.br ";" atendimento@eucatex.com.br ";" Tintas; vernizes; seladoras; esmaltes; resinas; texturas acrílicas; "
"TEXTIL E VESTUARIO ";" CONFECÇÕES NORMA LTDA. ";" R. dos Expedicionários Saltenses, 11/25 ";" Centro ";" 13320-000 ";" Salto ";" SP ";" Cont. Compras: Katia ";30;" (0xx11) 4029-3366 ";" (0xx11) 4029-3366 ";"  ";" confeccoesnorma@uol.com.br ";" Roupas femininas em geral; "
"MOVEIS E MADEIRA ";" EUCATEX S/A. IND. E COM. ";" R. Ribeirão Preto, 811 ";" Jd. Marília ";" 13323-010 ";" Salto ";" SP ";" Dir. Indl.: Carlos Bueste ";5000;" (0xx11) 4028-9000 ";" (0xx11) 4029-6685 ";" www.eucatex.com.br ";" eucatex@eucatex.com.br ";" Madeira; "
"PAPEL E CELULOSE ";" ARJO WIGGINS DO BRASIL COM. E IND. LTDA. ";" Rod. Salto-Itú, 30 ";" Porto Góes ";" 13320-970 ";" Salto ";" SP ";" Dir. Coml.: Cristofi Couffinhal ";350;" (0xx11) 4028-9654/9200/0800 100648 ";" (0xx11) 4028-9673 ";" www.canson.com. br ";" canson@arjowiggins.com.br ";" Papéis grau cirúrgico; papéis grau cirúrgico reforçados; folhas p/ esterilização; "
"PAPEL E CELULOSE ";" EMBANOR EMBALAGENS LTDA. ";" Estr. Jurumirim, 506 ";" Canjica ";" 13220-990 ";" Salto ";" SP ";" Dir. Coml.: Paulo Roberto Pereira Ortiz ";30;" (0xx11) 4028-8822/1015 ";" (0xx11) 4028-1015 ";" www.embanor.com.br ";" embanor@embanor.com.br ";" Embalagens de papelão ondulado. "
"VEICULOS AUTOMOTORES ";" ELICE IND. E COM. LTDA. ";" R. Mal. Rondon, 1.920 ";" Pedregulho ";" 13323-901 ";" Salto ";" SP ";" Dirs. Coms.: Rogério Bueno e Geraldo M. Hernandez ";" ";" (0xx11) 2165-1520/4028-1933 ";" (0xx11) 4028-1659 ";" www.elice.com.br ";" rsilva@elice.com.br ";" Autopecas; "
"VEICULOS AUTOMOTORES ";" IKS-IND. DE CABOS LTDA. ";" Rod. da Convenção, 1.900 ";" Canjica ";" 13320-000 ";" Salto ";" SP ";" ";" ";" (0xx11) 4028-0522/6854 ";" (0xx11) 4028-2480/0800 7710522 ";" www.iks.com.br ";" iks@iks.com.br ";" Cabos de acelerador; freio de mão; embreagem; velocimetro; afogador; estrangulador; capô; trava de banco; cabos especiais; "
"EMPRESAS DIVERSAS ";" TOPCO INTERNATIONAL COM. E PARTIC. LTDA. ";" R. das Carpas, 396 ";" Salto de São José ";" 13324-292 ";" Salto ";" SP ";" Dir. Coml.: Roy Rashid ";4;" (0xx11) 4028-1233 ";" (0xx11) 4029-4469 ";" www.topco.com.br ";" topco@topco.com.br ";" Representação Coml.; "
"AGÊNCIA DE EMPREGO ";" WORKING CENTER MÃO DE OBRA TEMPORÁRIA LTDA. ";" R. Monsenhor Couto, 147 ";" Centro ";" 13320-210 ";" Salto ";" SP ";" ";" ";" (0xx11) 4028-1536 ";" (0xx19) 4028-1536 ";" www.workingcenter.com.br ";" comercial@workingcenter.com.br ";" Mão de obra temporária, efetiva e terceirizada; "
"MECANICA ";" REDUTORES BORG-MAR LTDA. ";" R. Francisco Ortiz, 270 ";" Jd. Primavera ";" 18160-000 ";" Salto de Pirapora ";" SP ";" Dir. Coml.: Minetossi Abe ";50;" (0xx15) 3292-1611 ";" (0xx15) 3292-1370 ";"  ";"  ";" Redutores. "
"CONSTRUCAO CIVIL ";" MITAL IND. METALÚRGICA LTDA. ";" Av. Dep. Fed. Antonio S. Bueno, 2342 ";" ";" 19920-000 ";" Salto Grande ";" SP ";" Dir. Exec.: Pier A. Cerfoglia ";" ";" (0xx14) 3378-1341 ";" (0xx14) 3378-1427 ";" www.mital.com.br ";" marketing@mital.com.br ";" Ferragens p/ móveis (puxadores), acéssorios p/ banheiros e box; acessórios p/ decoração; "
"INFORMATICA ";" ADN TECNOLOGIA DE SISTS. LTDA. ";" Av. Antonio C. Magalhães, 2573- 16º And. ";" ";" 40289-900 ";" Salvador ";" BA ";" ";150;" (0xx71) 2106-2400 ";" (0xx71) 2106-2416 ";" www.adn.com.br ";"  ";" Gestão de tecnologia da informação; "
"ELETRO ELETRONICA ";" CIA. DE ELETRICIDADE DO EST. DA BAHIA - COELBA ";" Av. Edgard Santos, 300 ";" Cebula VI ";" 41186-900 ";" Salvador ";" BA ";" Dir. Pres.: Moises Afonso Sales Filho ";" ";" (0xx71) 370-5180 ";" (0xx71) 370-5132 ";" www.coelba.com.br ";" cbasterrechea@coelba.com.br ";" Distribuição de energia elétrica; "
"QUIMICA E FARMACEUTICA ";" INDEBA IND. E COM. LTDA. ";" Av. Aliomar Baleeiro, S/Nº ";" Cajazeiras ";" 41500-660 ";" Salvador ";" BA ";" Dir. Coml.: José Rosalio ";200;" (0xx71) 2106-2106 ";" (0xx71) 2106-3455 ";" www.indeba.com.br ";" indeba@indeba.com.br ";" Detergentes, amaciantes, ceras, desinfetantes, produtos p/ tratamento de pisos e lavagem de roupas hospitalares. "
"QUIMICA E FARMACEUTICA ";" RENNER SAYERLACK S/A. ";" R. da Matriz, s/n - BR 324 - KM 13,5 ";" Valéria ";" 41300-600 ";" Salvador ";" BA ";" Ger. Adm.: Anisio Cafer ";120;" (0xx71) 301-8255 ";" (0xx71) 301-9079 ";" www.tintasrenner.com.br ";" dahora@renner.com.br ";" Tintas em geral. "
"COSMÉTICOS ";" GIBAHIA COMERCIAL LTDA. ";" R. Dr. Altino Teixeira, 1903 ";" Porto Seco Pirajá ";" 41316-900 ";" Salvador ";" BA ";" Cont. Coml.: Daniel ";" ";" (0xx71) 3392-3886 ";" (0xx71) 3346-2473 ";" www.gibahia.com.br ";" gibahia@gibahia.com.br ";" Distribuidora de produtos; "
"ALIMENTICIA ";" MOINHO SAVADOR S/A. ";" Av. Estados Unidos, 863 ";" Comércio ";" 40010-020 ";" Salvador ";" BA ";" Dir. Coml.: Marino Gonsales ";190;" (0xx71) 242-1044/2319/243-1548 ";" (0xx71) 242-1116 ";"  ";"  ";" Moagem de trigo. "
"COURO ";" FREE WAY IND. CONFECÇÃO LTDA. ";" R. Hermínio de Andrade, 01 ";" ";" 40315-060 ";" Salvador ";" BA ";" Dirª. Coml.: Mora Danuzia ";25;" (0xx71) 381-5130 ";" (0xx71) 381-2770 ";"  ";"  ";" Sacolas, capas de agenda. "
"PLASTICOS ";" BAHIA PET LTDA. ";" R. do Paquistão, s/n ";" ";" 41290-000 ";" Salvador ";" BA ";" ";" ";" (0xx71) 2106-0470 ";" (0xx71) 2106-0459 ";" www.bahiapet.com.br ";"  ";" Preforma de PET p/ refrigerantes e água mineral. "
"MOVEIS E MADEIRA ";" SANTA LUZ IND. E COM. DE MADEIRA. ";" R. Oswaldo Hugo Sacramento, 25 ";" ";" 41640-160 ";" Salvador ";" BA ";" Ger. Vendas: Raimundo Henrique dos Santos ";" ";" (0xx71) 244-9768 ";"  ";"  ";"  ";" Madeiras em geral. "
"PAPEL E CELULOSE ";" FÁBRICA LUA NOVA ARTEFS. DE PAPEL ";" R. Cônego Pereira, 75 ";" Sete Portas ";" 40300-270 ";" Salvador ";" BA ";" Dir. Coml.: Walter Cândido ";80;" (0xx71) 244-3088 ";" (0xx71) 244-1677 ";"  ";"  ";" Artefatos de papel para embalagens. "
"EDITORA E GRAFICA ";" CASA DA QUALIDADE EDITORA LTDA. ";" R. Teófilo Braga, 02 ";" Pituba ";" 41810-300 ";" Salvador ";" BA ";" Dira. Coml.: Nadia Regina ";" ";" (0xx71) 451-2023 ";" (0xx71) 452-7045 ";" www.casadaqualidade.com.br ";" editora@casadaqualidade.com.br ";"  "
"EDITORA E GRAFICA ";" EDITORA DA UNIV. FEDERAL DA BAHIA ";" R. Augusti Viana, 37 ";" Canela ";" 40110-060 ";" Salvador ";" BA ";" Dira. Pres.: Flavia Mota ";" ";" (0xx71) 331-9799 ";" (0xx71) 235-8991 ";" www.ufba.br ";" edufba@ufba.br ";"  "
"EDITORA E GRAFICA ";" FUNDAÇÃO CULTURAL DO EST. DA BAHIA. ";" Pça Tomé de Souza, s/nº - Palácio Rio Branco ";" Centro ";" 40020-010 ";" Salvador ";" BA ";" Dir. Pres.: José Augusto G. Burity. ";" ";" (0xx71) 321-0222 ";" (0xx71) 321-0222 ";"  ";" funcebdiled@bahiaba.gov.br ";" Selo editorial; bahia Cultural; boletim letra; "
"CONSTRUCAO CIVIL ";" CONSTRUTORA OASIS LTDA. ";" R. Humberto de Campos, 256 ";" Graça ";" 40150-130 ";" Salvador ";" BA ";" ";7200;" (0xx71) 2106-5500 ";" (0xx71) 2106-5534 ";" www.oas.com.br ";" webmaster@oas.com.br ";" Construção civil; "
"CONSTRUCAO CIVIL ";" PAPAIZ NORDESTE IND. E COM. LTDA. ";" Pça. Gal. Labatut, 01 ";" ";" 41290-560 ";" Salvador ";" BA ";" ";400;" (0xx) 0800-701-4443 ";" (0xx71) 4091-0844 ";" www.papaiz.com.br ";" papaiz@papaiz.com.br ";" Cadeados; fechaduras e cilindros p/ móveis de escritório; dobradiças; "
"VEICULOS AUTOMOTORES ";" GOTEMBURGO VEÍCULOS LTDA. ";" Pq. Indl. Cia Sul, Via Cia Aeroporto, Km 01-s/nº ";" Simões Filho ";" 43700-000 ";" Salvador ";" BA ";" Dir. Exec.: Marcelo Borba ";" ";" (0xx71) 2107-7171 ";" (0xx71) 2107-7132 ";" www.gotemburgo.com.br ";" admcentral@gotemburgo.com.br ";" Concessionária volvo; "
"NAÚTICA ";" BAHIA MARINA S/A. ";" Av. Contorno, 1010 ";" Comércio ";" 40015-230 ";" Salvador ";" BA ";" Cont. Coml.: Reynaldo Jorge Calmon ";" ";" (0xx71) 322-7244 ";" (0xx71) 322-7244 ";" www.bahiamarina.com.br ";" bmvendas@bahiamarina.com.br ";" Marina; "
"NAÚTICA ";" DECK SERVS. EM MÁQS. E EQUIPS. LTDA. ";" Av. Manoel Dias da Silva, 2342 ";" Pituba ";" 41830-001 ";" Salvador ";" BA ";" Cont. Coml.: Selma Cerqueira ";" ";" (0xx71) 248-5378 ";" (0xx71) 248-5378 ";" www.deck.com.br ";" deck@deck.com.br ";" Construções e reformas de piscinas; "
"AGÊNCIA DE EMPREGO ";" SISTEMA TERCEIRIZAÇÃO E SERVIÇOS LTDA. ";" R. Carlos Gomes, 103 - S/ 805 ";" Vl. Buarque ";" 40060-330 ";" Salvador ";" BA ";" ";" ";" (0xx71) 321-4338 ";" (0xx71) 321-4338 ";" www.getsistema.com.br ";"  ";"  "
"CONSTRUCAO CIVIL ";" CERÂMICA CEJATEL LTDA. ";" Rod. BR 101-KM 359 ";" ";" 88717-000 ";" Sangão ";" SC ";" ";" ";" (0xx48) 655-0122 ";" (0xx48) 655-0122 ";" www.cejatel.com.br ";" cejatel@cejatel.com.br ";" Pisos e telhas; "
"METALURGICA ";" FERMARA - REFRIGERAÇÃO IND. E COM. LTDA. ";" R. dos Tucanos, 88 ";" Jd. São Francisco II ";" 13450-970 ";" Santa Barbara D' Oeste ";" SP ";" Dir. Coml.: Mario Rossane ";60;" (0xx19) 3455-1333 ";" (0xx19) 3455-1110 ";" www.fermara.com.br ";" fermara@fermara.com.br ";" Gôndulos; expositor refrigerado; check-aut's; hortifruti; balcões refrigerados; "
"PLASTICOS ";" ESPER EMBALAGENS LTDA. ";" R. do Diamante, 522 ";" Jd. Pérola ";" 13454-250 ";" Santa Bárbara do Oeste ";" SP ";" Ger. Coml.: Odair Cardoso ";" ";" (0xx19) 3459-5000 ";" (0xx19) 3458-5054 ";" www.esper.com.br ";" esper@esper.com.br ";" laminadas e polietinleno; "
"MOVEIS E MADEIRA ";" FLEX DO BRASIL LTDA. ";" R. da Agricultura, 840 ";" Jd. Pérola ";" 13454-000 ";" Santa Bárbara do Oeste ";" SP ";" ";" ";" (0xx19) 3459-6800/3473-1000 ";" (0xx19) 3459-6809 ";" www.flex.es ";" flexdobrasil@flex.es ";" Colchões; "
"EMPRESAS DIVERSAS ";" PRASMATIC DO BRASIL IMP. EXP. LTDA. ";" R. Juscelino Kubischek de Oliveira, 1022 ";" Dist. Indl. I ";" 13457-190 ";" Santa Bárbara do Oeste ";" SP ";" Dir. Pres.: Valdecir Edson Alves ";" ";" (0xx19) 3463-6090 ";" (0xx19) 3463-6090 ";" www.prasmatic.it.com.br ";" prasmatic@prasmatic.com.br ";" Envolvedora de palete; cargs com filme e embaladora a vácuo; "
"MECANICA ";" BALMAK IND. E COM. LTDA. ";" R. Antônio João Abdalla, 97 ";" Dist. Indl. ";" 13450-000 ";" Santa Bárbara D'Oeste ";" SP ";" Ger. Vendas: Hugo Della Rosa ";" ";" (0xx19) 3455-1229 ";" (0xx19) 3455-1229 ";" www.balmak.com.br ";" compras@balmak.com.br ";" Balanças eletrônicas comercial computadorizada; balança eletrônica coml. pesadora; balança mecânica coml. ou indl; balanças eletrônicas p/ pesar pessoas; "
"MECANICA ";" ITG ROMER LTDA. ";" R. Alonso Reese, 73 ";" Vl. Linópolis II ";" 13450-410 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Exec.: Claudemar Luiz Bombem ";" ";" (0xx19) 3455-4516 ";" (0xx19) 3455-4516 ";" www.itgromer.com.br ";" itgromer@itgromer.com.br ";" Soluções de medição 3D portáteis; "
"METALURGICA ";" ATCAN IND. E COM. ENGENHARIA LTDA. ";" R. Equador, 283 ";" Vl. Sartori ";" 13450-190 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Exec.: Antonio Tadeu Cândido ";" ";" (0xx19) 3463-5016 ";" (0xx19) 3463-1605 ";" www.atacan.com.br ";" atacan@atacan.com.br ";" Prensas termolaminadoras; "
"METALURGICA ";" CNC TECNICA LTDA. ";" R. Uruguai, 574 ";" ";" 13450-158 ";" Santa Bárbara D'Oeste ";" SP ";" Ger. Coml.: José Fernando Perez ";" ";" (0xx19) 3463-6311 ";" (0xx19) 3463-8799 ";" www.cncservice.com.br ";" contato@cncnet.com.br ";"  "
"METALURGICA ";" INDS. ROMI S/A. ";" Rod. SP-304, Km 141 ";" Centro ";" 13453-900 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: Eng. Hiçao Misawa ";2500;" (0xx19) 3455-9000/9735 ";" (0xx19) 3455-2499 ";" www.romi.com.br ";" maqfer@romi.com.br ";" Máquinas operatrizes; "
"METALURGICA ";" SNAPON DO BRASIL COM. E IND. LTDA ";" R. Juscelino Kubistschek de Oliveira, 470 ";" Dist. Indl. II ";" 13456-401 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: José Carlos Silva ";" ";" (0xx19) 3455-1800 ";" (0xx19) 3455-1040 ";" www.snaponsun.com.br ";" compras@snaponsun.com.br ";" Ferramentas manuais; catraca; ajustável; estrela; torquímetro; furadeira; lixadeira; cortadeira; apertadeira. "
"QUIMICA E FARMACEUTICA ";" LUNA QUÍMICA LTDA ";" R. Parintins, 1.052 ";" Jd. São Francisco ";" 13457-035 ";" Santa Bárbara D'Oeste ";" SP ";" ";" ";" (0xx19) 3455-1779 ";" (0xx19) 3455-1779 ";" www.lunaquimica.com.br ";" lunaquimica@hotmail.com ";" Gel decapante; soluções decapantes; desengraxantes/passivantes; prods. p/ tratamento de superficie dos aços inoxidáveis; "
"TEXTIL E VESTUARIO ";" CANATIBA TÊXTIL LTDA. ";" Av. Interdistrital Com. Emílio Romi, 350 ";" Distr. Indl. ";" 13456-901 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: Darci Corrolan ";" ";" (0xx19) 3459-4000/3455-2233 ";" (0xx19) 3459-4013/3455-2233 ";" www.canatiba.com.br ";"  ";" Índigo lycra lisa e estampada; "
"TEXTIL E VESTUARIO ";" CERMATEX IND. DE TECIDOS LTDA. ";" Av. Industrial, 380 ";" Dist. Indl. ";" 13450-970 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Pres.: Luis Antonio Cervone ";250;" (0xx19) 3464-5115/5116/5104 ";" (0xx19) 3464-5124 ";" www.cermatex.com.br ";" compras@cermatex.com.br ";" Tecidos p/confecções; móveis estofados; lisos; listrados; xadrez; popelines; panamas; lonas p/calçados; viscose; tecidosem lycra; "
"TEXTIL E VESTUARIO ";" CONFECÇÃO DE MALHA TEDA LTDA. ";" R. Plínio Salgado, 130 ";" II Distrito Indl. ";" 13457-192 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: José Eduardo Tedesco ";" ";" (0xx19) 3463-7677 ";" (0xx19) 3463-7677 ";" www.teda.com.br ";" contato@teda.com.br ";" Malhas; "
"TEXTIL E VESTUARIO ";" ROVACH IND. TÊXTIL LTDA. ";" Av. Dirceu Dias Carneiro, 305 ";" Dist. Indl. II ";" 13457-198 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: Cláudio José Alves ";" ";" (0xx19) 3455-1234/3463-3318 ";" (0xx19) 3455-1064 ";" www.rovach.com.br ";" rovach@ig.com.br ";"  "
"TEXTIL E VESTUARIO ";" SCURO IND. TÊXTIL LTDA. ";" Av. Ricardo Fracassi, 116 ";" Cid. Indl. ";" 13457-209 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Pres.: Wangri Scuro ";" ";" (0xx19) 3454-8600 ";" (0xx19) 3454-5696 ";" www.scurotextil.com.br ";" scurotextil@scurotextil.com.br ";" Tecidos; "
"TEXTIL E VESTUARIO ";" TÊXTIL CANATIBA LTDA. ";" Av. Interdistrital Comendador Emílio Romi, 350 ";" Dist. Indl. ";" 13456-901 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: Darci Covolan ";700;" (0xx19) 3459-4000 ";" (0xx19) 3459-4013 ";" www.canatiba.com.br ";" vendas@canatiba.com.br ";" Tecidos índigo p/confecções, calças, tingimento, encolhimento e acabamento de tecidos, tênis, sapatos e bolsas; "
"TEXTIL E VESTUARIO ";" TÊXTIL JOMARA LTDA. ";" Av. Interdistrital Cdor. Emílio Romi, 1.016 ";" Dist. Indl. ";" 13456-120 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: José Maria de Araújo Júnior ";60;" (0xx19) 3455-1188/2288 ";" (0xx19) 3455-1057 ";"  ";"  ";" Tecidos em geral. "
"PLASTICOS ";" BRINQBRAS IND. DE BRINQUEDOS DO BRASIL LTDA. ";" R. da Fluorita, 435 ";" ";" 13454-270 ";" Santa Bárbara D'Oeste ";" SP ";" ";" ";" (0xx19) 3458-2255 ";" (0xx19) 3458-3740 ";" www.brinqbras.com.br ";" brinqbras@brinqbras.com.br ";" Carros de brinquedos; "
"BORRACHA ";" PENTES AMERICANA LTDA. ";" R. da Agricultura, 2242 ";" ";" 13450-970 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Coml.: Wilson Sega ";" ";" (0xx19) 3458-4177 ";" (0xx19) 3458-4755 ";" www.pentesamericana.com.br ";" pentes@pentesamericana.com.br ";" Pentes texteis; borracha revestimento; "
"CONSTRUCAO CIVIL ";" INTERTELHAS PRODS. SIDERÚRGICOS LTDA. ";" Av. Cdor. Américo Emílio Romi, 69 ";" ";" 13456-120 ";" Santa Bárbara D'Oeste ";" SP ";" Dir. Exec.: Antônio Portilho ";" ";" (0xx19) 3463-8800 ";" (0xx19) 3463-8800 ";"  ";"  ";" Engradamento metálico; telhas de aço; tubos de aço; "
"EMPRESAS DIVERSAS ";" CARTONAGEM MODELO LTDA. ";" R. da Agricultura, 116 ";" ";" 13454-000 ";" Santa Bárbara D'Oeste ";" SP ";" ";" ";" (0xx19) 3458-2655 ";" (0xx19) 3458-2396 ";" www.pentapack.com.br ";" pentapack@pentapack.com.br ";" Embalagens rotuladas feitas de barricas de papelão; envolvedoras de paletes; tambores de fibra; "
"ALIMENTICIA ";" DUAS RODAS INDUSTRIAL LTDA. ";" R. Rodolfo Hufenussler, 755 ";" Jaraguá do Sul ";" 89251-901 ";" Santa Catarina ";" SC ";" ";900;" (0xx47) 372-9000 ";" (0xx47) 371-2854/372-9010 ";" www.duasrodas.com.br ";" dacdr@duasrodas.com.br ";" Aromas líquidos e em pó (naturais e artificiais), emulsões,extratos naturais e óleos essenciais. "
"TEXTIL E VESTUARIO ";" TEKA TECELAGEM KUEHNRICH S/A. ";" R. Paulo Kuehnrich, 68 ";" itoupava Norte ";" 89052-900 ";" Santa Catarina ";" SC ";" ";4800;" (0xx47) 321-5000 ";" (0xx47) 321-5000 ";" www.teka.com.br ";"  ";" Cama; mesa; banho; roupões; "
"VEICULOS AUTOMOTORES ";" METALÚRGICA SARAIVA IND. E COM. LTDA. ";" Rod. SC 408, Km. 1,3 ";" Biguaçu ";" 88160-000 ";" Santa Catarina ";" SC ";" ";" ";" (0xx48) 285-5080 ";" (0xx48) 285-5080 ";" www.saraivaretrovisores.com.br ";"  ";" Retrovisores; "
"CALCADOS ";" BUMMER IND. E COM. DE ARTIGOS ESORTIVOS LTDA. ";" R. Pres. Campos Sales, 531 ";" Senae ";" 96810-280 ";" Santa Cruz ";" RS ";" Dir. Coml.: Zamir Charles Piel ";30;" (0xx51) 3715-1322 ";" (0xx51) 3713-3942 ";" www.bummer.com.br ";" atendimento@bummer.com.br ";" Chuteiras de futebol profissional, chuteiras de futebol society, chuteiras, luvas, caneleiras e bolas. "
"EDITORA E GRAFICA ";" EDITORA DA UNIV. STA. CRUZ DO SUL ";" Av. Independência, 2.293 ";" ";" 96815-900 ";" Santa Cruz ";" RS ";" Dira. Pres.: Helga L. K. Haas ";" ";" (0xx51) 3717-7462 ";" (0xx51) 3717-7402 ";" www.unisc.br ";" editora@unisc.br ";"  "
"ALIMENTICIA ";" CEREALISTA SÃO JOÃO LTDA. ";" Estr. Salto Bonito, Km 1 ";" Bairro da Estação ";" 18900-000 ";" Santa Cruz do Rio Pardo ";" SP ";" Dir. Coml.: José Irineu Pegorer ";70;" (0xx14) 3372-1329 ";" (0xx14) 3372-1329 ";"  ";"  ";" Beneficiamento de arroz e cereais. "
"CALCADOS ";" CRIAÇÕES MAUBER IND. E COM. DE CALÇADOS LTDA. ";" R. José Rocha Silos, 295 ";" Vl. Sideria ";" 18900-000 ";" Santa Cruz do Rio Pardo ";" SP ";" ";" ";" (0xx14) 3372-1044 ";" (0xx14) 3372-1044 ";" www.passoforte.com.br ";" mauber@passoforte.com.br ";" Calçados masculinos, femininos e infantis "
"CALCADOS ";" DEDMAR IND. E COM. DE CALÇADOS LTDA. ";" R. Agenor Camargo, 333 ";" V. Saul ";" 18900-000 ";" Santa Cruz do Rio Pardo ";" SP ";" ";" ";" (0xx14) 3372-2996 ";" (0xx14) 3372-2996 ";"  ";" dedmar@argon.com.br ";" Calçados masculinos e femininos. "
"CALCADOS ";" DY LOCALLY IND. COM. DE CALÇADOS LTDA. ";" Av. Jesus Gonçalves, 136 ";" Jd. Vista Alegre ";" 18900-000 ";" Santa Cruz do Rio Pardo ";" SP ";" ";" ";" (0xx14) 3372-5151 ";" (0xx14) 3372-1706 ";"  ";" peao@argon.com.br ";" Calçados; "
"CALCADOS ";" GIANI IND. COM. DE CALÇADOS LTDA. ";" R. Romeu José Batista, 35 ";" Jd. Brasília ";" 18900-000 ";" Santa Cruz do Rio Pardo ";" SP ";" ";" ";" (0xx14) 3372-4848 ";" (0xx14) 3372-4848 ";"  ";" giani-calcados@uol.com.br ";" Calçados masculinos, femininos e infantis. "
"CALCADOS ";" IND. DE CALÇADOS TIRANA LTDA. ";" R. Pedro Camarinha, 269 ";" V. Maristela ";" 18900-000 ";" Santa Cruz do Rio Pardo ";" SP ";" ";" ";" (0xx14) 3372-4099 ";" (0xx14) 3372-4859 ";" www.tirana.com.br ";" calcadosadriela@uol.com.br ";" Calçados femininos; "
